age,job,marital,education,housing,loan,contact,month,day_of_week,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed
37,admin.,married,high.school,yes,yes,cellular,jun,tue,2,999,0,nonexistent,-2.9,92.963,-40.8,1.262,5076.2
43,blue-collar,married,basic.4y,yes,no,cellular,may,wed,2,999,1,failure,-1.8,92.893,-46.2,1.281,5099.1
36,services,married,high.school,yes,no,telephone,may,mon,4,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
36,admin.,single,university.degree,yes,no,cellular,apr,thu,3,999,2,failure,-1.8,93.075,-47.1,1.435,5099.1
32,blue-collar,married,basic.4y,yes,no,cellular,jul,thu,3,999,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1
29,admin.,single,university.degree,yes,yes,cellular,aug,fri,4,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1
38,technician,divorced,university.degree,no,no,cellular,apr,wed,2,999,2,failure,-1.8,93.075,-47.1,1.415,5099.1
48,management,married,university.degree,no,no,cellular,aug,tue,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1
56,technician,married,professional.course,no,yes,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
55,admin.,married,university.degree,yes,no,cellular,apr,thu,3,999,0,nonexistent,-1.8,93.075,-47.1,1.41,5099.1
36,services,single,high.school,no,no,cellular,jul,fri,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1
36,blue-collar,married,basic.9y,no,no,cellular,may,thu,4,999,1,failure,-1.8,92.893,-46.2,1.327,5099.1
31,admin.,married,university.degree,no,no,cellular,aug,tue,1,999,0,nonexistent,-1.7,94.027,-38.3,0.904,4991.6
30,blue-collar,married,basic.9y,yes,no,telephone,may,thu,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0
55,blue-collar,married,basic.4y,yes,no,telephone,jun,tue,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1
32,blue-collar,married,basic.9y,no,no,cellular,may,wed,2,999,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1
47,management,married,basic.4y,yes,no,telephone,may,tue,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0
38,blue-collar,married,basic.4y,yes,no,telephone,may,tue,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0
32,technician,single,professional.course,yes,no,cellular,aug,wed,1,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1
48,blue-collar,married,basic.9y,yes,no,cellular,may,tue,1,999,0,nonexistent,-1.8,92.893,-46.2,1.344,5099.1
45,services,divorced,basic.9y,no,no,cellular,nov,wed,1,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8
34,blue-collar,single,basic.9y,no,no,cellular,apr,wed,1,999,0,nonexistent,-1.8,93.075,-47.1,1.498,5099.1
65,management,married,high.school,yes,no,cellular,jul,thu,1,999,2,failure,-1.7,94.215,-40.3,0.899,4991.6
35,admin.,married,university.degree,no,no,cellular,nov,thu,2,999,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8
39,admin.,married,university.degree,no,no,telephone,jun,thu,1,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1
48,blue-collar,married,basic.9y,yes,no,telephone,may,wed,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0
32,admin.,married,high.school,yes,no,cellular,may,wed,1,999,1,failure,-1.8,92.893,-46.2,1.334,5099.1
31,admin.,single,university.degree,yes,no,cellular,aug,thu,11,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1
46,admin.,married,high.school,yes,no,cellular,jul,mon,11,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1
30,technician,married,professional.course,yes,no,cellular,jul,mon,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1
30,admin.,single,university.degree,no,no,cellular,aug,thu,5,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1
40,services,divorced,high.school,yes,no,cellular,may,mon,2,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1
57,admin.,divorced,high.school,yes,no,cellular,jul,tue,1,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1
55,management,married,university.degree,yes,no,cellular,may,mon,2,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1
34,blue-collar,married,basic.9y,yes,no,cellular,apr,mon,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1
42,management,divorced,high.school,no,no,telephone,jun,mon,1,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1
58,management,married,university.degree,yes,yes,cellular,aug,thu,2,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1
47,services,married,high.school,yes,no,cellular,aug,fri,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1
29,student,single,high.school,no,yes,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
35,blue-collar,married,basic.9y,yes,no,cellular,jul,fri,4,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1
24,blue-collar,single,basic.9y,no,no,telephone,may,fri,4,999,1,failure,-1.8,92.893,-46.2,1.25,5099.1
34,services,married,high.school,yes,no,cellular,jul,thu,1,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1
53,technician,married,university.degree,yes,yes,cellular,aug,mon,11,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1
57,admin.,married,high.school,no,no,telephone,jul,thu,9,999,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1
41,blue-collar,married,basic.4y,yes,no,cellular,may,fri,1,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1
46,blue-collar,married,basic.4y,no,no,telephone,may,mon,2,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1
58,retired,married,university.degree,no,yes,cellular,aug,tue,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1
49,admin.,single,university.degree,yes,no,telephone,jul,thu,1,999,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1
40,self-employed,married,high.school,no,no,telephone,may,mon,2,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0
29,entrepreneur,married,high.school,yes,no,cellular,jul,thu,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1
36,unemployed,single,university.degree,yes,no,cellular,may,mon,4,999,0,nonexistent,-1.8,92.893,-46.2,1.354,5099.1
29,self-employed,married,university.degree,no,no,telephone,may,thu,3,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0
26,blue-collar,married,professional.course,yes,no,telephone,may,mon,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
30,technician,married,university.degree,yes,no,telephone,may,tue,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0
22,technician,single,professional.course,yes,no,cellular,nov,tue,1,999,0,nonexistent,-3.4,92.649,-30.1,0.72,5017.5
40,blue-collar,single,basic.9y,no,no,cellular,apr,wed,1,999,1,failure,-1.8,93.075,-47.1,1.498,5099.1
31,admin.,single,university.degree,yes,no,cellular,apr,mon,2,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1
29,technician,single,high.school,no,no,cellular,aug,wed,3,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1
32,services,married,high.school,no,no,cellular,jul,mon,1,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1
41,services,divorced,high.school,no,yes,cellular,jul,wed,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1
36,admin.,married,university.degree,yes,yes,cellular,jun,fri,1,4,4,success,-1.7,94.055,-39.8,0.748,4991.6
36,admin.,divorced,university.degree,yes,no,cellular,aug,tue,2,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1
29,technician,single,professional.course,no,no,telephone,may,wed,2,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0
41,blue-collar,married,basic.4y,yes,no,telephone,jun,thu,3,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1
31,technician,married,university.degree,yes,no,cellular,aug,wed,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1
