age,job,marital,education,housing,loan,contact,month,day_of_week,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,predicted_deposit,probability,predicted_proba,actual_deposit
54,technician,married,high.school,yes,no,telephone,jun,fri,2,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,1,0.5487910117213667,0.5487910117213667,0
47,blue-collar,married,basic.9y,no,yes,telephone,jun,wed,3,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,1,0.5666391219696867,0.5666391219696867,0
52,technician,married,high.school,yes,no,telephone,may,tue,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,0,0.4576387014482922,0.4576387014482922,0
31,technician,married,professional.course,no,no,telephone,may,wed,2,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,1,0.5543998478385342,0.5543998478385342,0
34,admin.,married,university.degree,no,no,telephone,nov,fri,3,999,1,failure,-0.1,93.2,-42.0,4.021,5195.8,0,0.17180099025967713,0.17180099025967713,0
30,blue-collar,married,basic.9y,yes,no,telephone,may,thu,1,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,1,0.5332740027886099,0.5332740027886099,0
56,services,married,basic.4y,no,no,telephone,jun,mon,2,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,0,0.4191912774231904,0.4191912774231904,0
36,blue-collar,married,high.school,no,no,cellular,may,tue,4,999,1,failure,-1.8,92.893,-46.2,1.291,5099.1,1,0.5050575380449039,0.5050575380449039,0
34,blue-collar,married,basic.9y,yes,no,telephone,may,mon,2,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,1,0.5041137210539289,0.5041137210539289,0
44,entrepreneur,married,university.degree,no,no,cellular,nov,fri,2,999,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,1,0.5799100731088704,0.5799100731088704,0
28,technician,single,professional.course,yes,no,telephone,may,fri,9,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,0,0.11440100433156933,0.11440100433156933,0
56,management,married,university.degree,yes,no,telephone,may,fri,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.43010278793959816,0.43010278793959816,0
43,management,married,university.degree,no,no,cellular,nov,mon,2,999,0,nonexistent,-0.1,93.2,-42.0,4.191,5195.8,1,0.572380859416587,0.572380859416587,0
50,blue-collar,divorced,high.school,no,no,telephone,may,wed,6,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,1,0.5182865937434135,0.5182865937434135,0
35,technician,married,professional.course,yes,no,cellular,aug,tue,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,1,0.5293179966586095,0.5293179966586095,0
30,technician,single,university.degree,no,yes,cellular,aug,fri,2,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,1,0.5463027569435681,0.5463027569435681,0
29,services,divorced,high.school,no,no,telephone,may,wed,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0,0.44770494722202436,0.44770494722202436,0
56,blue-collar,married,basic.9y,no,no,cellular,jul,fri,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,1,0.5546182577496961,0.5546182577496961,0
34,services,married,basic.9y,yes,yes,telephone,may,mon,2,999,1,failure,-1.8,92.893,-46.2,1.299,5099.1,0,0.04588827902203786,0.04588827902203786,0
39,housemaid,married,basic.4y,yes,no,telephone,may,tue,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,0,0.35901899139925186,0.35901899139925186,0
41,self-employed,married,high.school,yes,no,telephone,jun,wed,1,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,1,0.5866181794820243,0.5866181794820243,0
28,services,married,high.school,no,yes,cellular,may,fri,1,999,1,failure,-1.8,92.893,-46.2,1.313,5099.1,0,0.390913082260537,0.390913082260537,0
35,entrepreneur,married,high.school,no,no,telephone,may,tue,4,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.43818099828696155,0.43818099828696155,0
41,admin.,divorced,high.school,no,no,telephone,may,tue,4,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.48104773439078835,0.48104773439078835,0
30,admin.,married,basic.6y,no,no,cellular,may,thu,1,999,1,failure,-1.8,92.893,-46.2,1.266,5099.1,0,0.4365506944191836,0.4365506944191836,0
44,technician,married,university.degree,yes,no,cellular,aug,wed,2,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,1,0.5822797340112571,0.5822797340112571,0
36,technician,married,high.school,yes,no,telephone,nov,mon,1,999,0,nonexistent,-0.1,93.2,-42.0,4.191,5195.8,0,0.21313704424630553,0.21313704424630553,0
38,blue-collar,married,basic.4y,no,no,telephone,jun,fri,3,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,1,0.580771813329926,0.580771813329926,0
56,entrepreneur,married,university.degree,no,no,telephone,may,tue,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,0,0.47953543426492407,0.47953543426492407,0
37,blue-collar,single,basic.9y,yes,no,telephone,may,wed,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,0,0.41188034400961826,0.41188034400961826,1
36,technician,married,professional.course,no,no,telephone,jun,wed,9,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,1,0.5416600266672479,0.5416600266672479,0
47,technician,married,professional.course,yes,no,cellular,aug,wed,3,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,1,0.5810728978073475,0.5810728978073475,0
37,unemployed,single,basic.9y,yes,no,telephone,jun,mon,1,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0,0.4686930755158351,0.4686930755158351,0
30,services,divorced,basic.9y,yes,no,telephone,may,thu,1,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,1,0.5432719948302189,0.5432719948302189,0
31,blue-collar,married,basic.4y,no,no,cellular,aug,fri,2,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,0,0.2515090447352609,0.2515090447352609,0
50,services,single,high.school,no,no,cellular,jul,wed,7,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0,0.47358428350043885,0.47358428350043885,0
36,technician,divorced,professional.course,yes,no,cellular,aug,thu,3,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,1,0.5636205016654452,0.5636205016654452,0
55,technician,married,university.degree,yes,no,telephone,jul,fri,1,999,0,nonexistent,1.4,93.918,-42.7,4.959,5228.1,0,0.3042158783395227,0.3042158783395227,0
43,management,married,high.school,yes,yes,telephone,jun,fri,2,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,0,0.4666416824212731,0.4666416824212731,0
25,blue-collar,single,basic.4y,yes,yes,telephone,jun,mon,1,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0,0.47966151965086457,0.47966151965086457,0
36,technician,married,professional.course,no,no,telephone,may,wed,3,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,1,0.5443631090969627,0.5443631090969627,1
33,services,married,high.school,yes,no,telephone,may,fri,2,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0,0.4683117865044528,0.4683117865044528,0
34,technician,single,high.school,yes,no,telephone,jul,fri,2,999,0,nonexistent,1.4,93.918,-42.7,4.959,5228.1,0,0.36386627219471307,0.36386627219471307,0
39,housemaid,married,basic.4y,yes,yes,cellular,aug,fri,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,0,0.24697465593783297,0.24697465593783297,0
54,unemployed,married,high.school,no,no,telephone,jul,tue,2,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0,0.3591431760614569,0.3591431760614569,0
51,entrepreneur,married,basic.4y,yes,no,telephone,may,wed,3,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,1,0.5759173896730004,0.5759173896730004,0
44,blue-collar,single,high.school,no,no,telephone,jul,mon,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0,0.4818172451829194,0.4818172451829194,0
27,admin.,married,high.school,yes,no,telephone,jul,wed,6,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,1,0.5797094849602398,0.5797094849602398,0
39,management,married,high.school,no,no,cellular,nov,fri,2,999,1,failure,-0.1,93.2,-42.0,4.021,5195.8,1,0.5669880974176964,0.5669880974176964,0
28,services,single,high.school,yes,yes,telephone,may,tue,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,1,0.5248071306232921,0.5248071306232921,0
40,blue-collar,single,basic.9y,yes,no,telephone,jun,fri,7,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,0,0.46724473687053686,0.46724473687053686,0
54,technician,divorced,high.school,no,no,cellular,aug,mon,4,999,0,nonexistent,1.4,93.444,-36.1,4.97,5228.1,0,0.4675513903202397,0.4675513903202397,0
43,admin.,single,university.degree,yes,no,cellular,aug,thu,5,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,1,0.546770249259533,0.546770249259533,0
47,blue-collar,married,basic.6y,yes,yes,telephone,may,fri,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,1,0.5425465984041408,0.5425465984041408,0
45,unemployed,married,basic.9y,yes,no,cellular,nov,thu,5,999,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,0,0.30910159106392565,0.30910159106392565,0
54,technician,married,high.school,no,no,cellular,apr,mon,3,999,2,failure,-1.8,93.075,-47.1,1.405,5099.1,0,0.44599801101988823,0.44599801101988823,0
35,blue-collar,married,high.school,yes,yes,telephone,may,fri,2,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191.0,1,0.5427784724467004,0.5427784724467004,0
31,blue-collar,married,basic.9y,yes,yes,telephone,may,mon,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.44122761964727536,0.44122761964727536,0
