age,job,marital,education,housing,loan,contact,month,day_of_week,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,predicted_deposit,probability,predicted_proba,actual_deposit
43,technician,single,high.school,no,no,cellular,nov,fri,2,999,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,1,0.5960932309258857,0.5960932309258857,0
41,blue-collar,married,basic.6y,yes,no,cellular,jul,wed,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,1,0.6569032126104095,0.6569032126104095,0
28,technician,single,university.degree,no,no,cellular,jul,fri,3,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,1,0.733178444618094,0.733178444618094,0
29,blue-collar,single,basic.9y,no,no,cellular,jul,wed,1,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,1,0.7435641222753945,0.7435641222753945,0
30,self-employed,single,basic.9y,no,yes,telephone,oct,mon,1,999,0,nonexistent,-1.1,94.601,-49.5,0.953,4963.6,1,0.615717233524381,0.615717233524381,0
50,blue-collar,married,basic.9y,yes,no,cellular,aug,wed,4,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,1,0.6102244070453513,0.6102244070453513,0
38,management,married,university.degree,no,no,cellular,aug,wed,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,1,0.6616293742953524,0.6616293742953524,0
38,management,married,university.degree,yes,no,telephone,aug,thu,4,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,1,0.7076793087807455,0.7076793087807455,0
29,services,married,basic.9y,no,no,cellular,may,tue,1,999,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,1,0.7613620166518258,0.7613620166518258,0
32,admin.,single,university.degree,yes,no,cellular,mar,mon,3,999,0,nonexistent,-1.8,92.843,-50.0,1.52,5099.1,1,0.9096521229501321,0.9096521229501321,1
51,admin.,married,basic.9y,yes,no,cellular,may,mon,6,6,2,success,-1.8,92.893,-46.2,1.299,5099.1,1,0.7989883989901821,0.7989883989901821,0
36,self-employed,single,university.degree,no,no,telephone,jun,fri,3,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,1,0.6098483125794747,0.6098483125794747,0
48,self-employed,divorced,university.degree,no,no,cellular,aug,fri,1,999,1,failure,-1.7,94.027,-38.3,0.898,4991.6,1,0.929293206214478,0.929293206214478,0
29,blue-collar,married,basic.9y,yes,no,cellular,jul,mon,1,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,1,0.6425177201228182,0.6425177201228182,0
27,technician,single,university.degree,yes,no,cellular,oct,wed,1,999,1,failure,-1.1,94.601,-49.5,1.043,4963.6,1,0.9231411924500995,0.9231411924500995,1
23,admin.,single,professional.course,no,no,cellular,jul,wed,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,1,0.7113879624581725,0.7113879624581725,0
27,admin.,single,university.degree,yes,no,cellular,may,fri,1,999,0,nonexistent,-1.8,92.893,-46.2,1.259,5099.1,1,0.850936201995512,0.850936201995512,0
60,blue-collar,married,basic.4y,yes,no,cellular,apr,mon,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,1,0.8422642524366484,0.8422642524366484,0
39,services,married,high.school,no,no,cellular,sep,tue,1,999,0,nonexistent,-3.4,92.379,-29.8,0.755,5017.5,1,0.9237253000269251,0.9237253000269251,1
31,admin.,single,basic.9y,no,no,cellular,jul,fri,1,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,1,0.7366421487342256,0.7366421487342256,1
27,technician,single,basic.9y,no,yes,cellular,apr,wed,2,999,0,nonexistent,-1.8,93.075,-47.1,1.445,5099.1,1,0.8253032389281151,0.8253032389281151,0
43,admin.,married,high.school,no,no,cellular,jul,mon,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,1,0.6625515539849046,0.6625515539849046,0
22,technician,single,professional.course,yes,no,cellular,nov,tue,1,999,0,nonexistent,-3.4,92.649,-30.1,0.72,5017.5,1,0.9326765802159368,0.9326765802159368,1
34,technician,married,university.degree,yes,no,cellular,nov,wed,1,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,1,0.6729239302429908,0.6729239302429908,1
29,admin.,married,university.degree,no,no,cellular,may,wed,5,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,1,0.6406207861018842,0.6406207861018842,0
26,services,single,high.school,no,no,cellular,jul,mon,1,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,1,0.6235251256729352,0.6235251256729352,0
31,unemployed,single,professional.course,yes,no,cellular,nov,thu,1,999,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,1,0.6664021172892733,0.6664021172892733,0
35,blue-collar,married,basic.9y,yes,no,cellular,jul,fri,4,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,1,0.7315527032873592,0.7315527032873592,1
48,technician,married,basic.9y,no,no,cellular,jul,thu,3,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,1,0.6512436832491917,0.6512436832491917,0
27,admin.,single,university.degree,no,no,cellular,jun,fri,2,999,0,nonexistent,-2.9,92.963,-40.8,1.268,5076.2,1,0.9244039124113693,0.9244039124113693,0
30,blue-collar,single,basic.9y,yes,yes,cellular,jul,mon,5,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,1,0.6253601276188057,0.6253601276188057,0
43,blue-collar,divorced,basic.9y,no,no,cellular,jul,tue,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,1,0.6566256871727721,0.6566256871727721,0
23,technician,single,university.degree,yes,yes,cellular,jul,tue,11,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,1,0.616294775165668,0.616294775165668,0
49,retired,married,high.school,yes,no,cellular,jul,wed,1,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,1,0.7042003457522142,0.7042003457522142,1
28,student,single,high.school,no,no,cellular,sep,fri,2,999,0,nonexistent,-3.4,92.379,-29.8,0.803,5017.5,1,0.9237253000269251,0.9237253000269251,1
54,admin.,divorced,professional.course,yes,no,cellular,may,tue,1,999,1,failure,-1.8,92.893,-46.2,1.266,5099.1,1,0.6883174110987265,0.6883174110987265,0
25,blue-collar,married,basic.9y,no,no,cellular,jul,thu,5,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,1,0.6806967612073507,0.6806967612073507,0
29,student,single,high.school,yes,no,cellular,jul,thu,2,999,0,nonexistent,-2.9,92.469,-33.6,1.018,5076.2,1,0.9244039124113693,0.9244039124113693,1
35,management,married,university.degree,no,yes,telephone,aug,mon,5,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,1,0.7126524700054006,0.7126524700054006,0
33,unemployed,married,basic.4y,no,no,cellular,may,mon,1,999,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1,1,0.7980158887900995,0.7980158887900995,0
29,blue-collar,married,professional.course,no,no,cellular,jul,wed,2,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,1,0.7458530020235835,0.7458530020235835,0
31,blue-collar,married,basic.9y,yes,no,cellular,jul,mon,5,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,1,0.6268387099294827,0.6268387099294827,0
29,blue-collar,married,professional.course,no,no,telephone,jun,wed,3,999,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,1,0.6057266448918198,0.6057266448918198,0
35,blue-collar,single,basic.9y,yes,no,cellular,jul,wed,1,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,1,0.7292655585116719,0.7292655585116719,0
39,technician,married,professional.course,yes,no,cellular,apr,thu,2,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,1,0.9323057169675012,0.9323057169675012,1
