age,job,marital,education,housing,loan,contact,month,day_of_week,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,predicted_deposit,probability,predicted_proba
58,management,divorced,university.degree,yes,no,telephone,may,mon,9,999,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1,1,0.5371007348384533,0.5371007348384533
33,admin.,married,basic.9y,yes,no,telephone,may,tue,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.3314035058759524,0.3314035058759524
54,admin.,married,university.degree,no,no,cellular,aug,wed,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,1,0.591482249166429,0.591482249166429
31,technician,married,professional.course,no,no,telephone,may,wed,2,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,1,0.5575652470143073,0.5575652470143073
53,blue-collar,married,basic.9y,yes,no,telephone,jul,thu,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0,0.3635142645906645,0.3635142645906645
56,technician,married,professional.course,no,yes,telephone,jun,fri,4,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,1,0.5709355367195935,0.5709355367195935
56,services,married,basic.4y,no,no,telephone,jun,mon,2,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,0,0.47421172345233437,0.47421172345233437
24,blue-collar,married,basic.9y,yes,yes,telephone,may,fri,6,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,1,0.5626217425481241,0.5626217425481241
43,blue-collar,married,basic.6y,yes,yes,telephone,jun,tue,3,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0,0.48915562594878775,0.48915562594878775
36,services,married,basic.6y,yes,no,telephone,may,thu,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,0,0.3398940826256189,0.3398940826256189
50,blue-collar,married,basic.4y,yes,yes,cellular,jul,tue,6,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,1,0.5626026409689138,0.5626026409689138
32,technician,married,professional.course,yes,no,cellular,aug,thu,6,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,0,0.47917272709437553,0.47917272709437553
45,entrepreneur,married,basic.4y,yes,no,telephone,nov,tue,7,999,0,nonexistent,-0.1,93.2,-42.0,4.153,5195.8,0,0.18118709098566863,0.18118709098566863
46,management,divorced,professional.course,no,no,cellular,may,tue,2,999,1,failure,-1.8,92.893,-46.2,1.344,5099.1,1,0.5709112418921639,0.5709112418921639
37,admin.,married,university.degree,yes,no,telephone,may,tue,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.3293958546734618,0.3293958546734618
34,admin.,single,university.degree,no,no,telephone,nov,fri,1,999,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,0,0.3613803030492269,0.3613803030492269
58,retired,married,basic.4y,yes,no,telephone,jun,thu,1,999,0,nonexistent,1.4,94.465,-41.8,4.866,5228.1,1,0.5030268988049363,0.5030268988049363
43,blue-collar,married,basic.9y,yes,yes,cellular,jul,tue,2,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,1,0.568448211068665,0.568448211068665
36,blue-collar,single,basic.9y,yes,no,telephone,may,mon,4,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.3764927700990283,0.3764927700990283
56,blue-collar,married,basic.4y,yes,no,telephone,jun,mon,3,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,1,0.5362036204829781,0.5362036204829781
32,admin.,married,university.degree,no,no,cellular,aug,fri,2,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0,0.44227915100258813,0.44227915100258813
28,services,married,high.school,no,yes,cellular,may,fri,1,999,1,failure,-1.8,92.893,-46.2,1.313,5099.1,1,0.5253242363155297,0.5253242363155297
