age,job,marital,education,housing,loan,contact,month,day_of_week,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,predicted_deposit,probability
47,blue-collar,married,basic.9y,no,no,cellular,aug,mon,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,1,0.6450578523655878
34,admin.,single,high.school,yes,no,cellular,jul,fri,5,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,1,0.7161635285334211
24,admin.,single,high.school,no,no,telephone,jul,wed,6,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,1,0.5615897489710426
53,blue-collar,divorced,basic.4y,yes,no,telephone,may,fri,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.41508683786487793
44,blue-collar,married,basic.4y,no,yes,telephone,may,thu,1,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,0,0.49895384104952173
49,services,married,high.school,no,no,cellular,aug,mon,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,1,0.623808970216811
43,admin.,married,university.degree,yes,no,telephone,jun,tue,2,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,1,0.5552565886857765
70,retired,married,basic.4y,no,no,cellular,dec,wed,2,999,0,nonexistent,-3.0,92.713,-33.0,0.715,5023.5,1,0.9367867312362455
56,technician,divorced,professional.course,no,no,cellular,jul,tue,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0,0.4297044632912459
50,unemployed,married,basic.4y,yes,no,cellular,apr,fri,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,1,0.5791739500447459
46,housemaid,single,university.degree,no,yes,cellular,jul,tue,3,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,1,0.536847783566355
36,services,single,high.school,yes,no,cellular,jul,fri,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,1,0.6484407046971427
56,retired,married,basic.4y,no,no,cellular,aug,wed,2,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,1,0.545170227123504
45,management,married,university.degree,no,no,cellular,nov,tue,1,999,0,nonexistent,-0.1,93.2,-42.0,4.153,5195.8,0,0.4953529605286222
38,blue-collar,married,professional.course,yes,no,telephone,nov,tue,2,999,0,nonexistent,-0.1,93.2,-42.0,4.153,5195.8,0,0.3909032716399953
34,self-employed,single,professional.course,yes,no,cellular,may,fri,2,999,1,failure,-1.8,92.893,-46.2,1.313,5099.1,0,0.4500363938592395
51,management,married,university.degree,no,no,cellular,may,fri,1,999,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,1,0.688812752296316
35,services,single,basic.9y,yes,no,cellular,jul,thu,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,1,0.6892196949650067
38,blue-collar,single,basic.9y,no,yes,cellular,jul,mon,8,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,1,0.6497226986395813
27,admin.,single,university.degree,yes,no,cellular,may,thu,1,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,1,0.7944862604250699
30,technician,single,university.degree,no,yes,cellular,aug,fri,2,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,0,0.4951844881145027
49,technician,married,professional.course,yes,no,cellular,aug,thu,2,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,1,0.6022171182121852
32,blue-collar,divorced,basic.9y,no,no,telephone,jun,tue,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0,0.45336016075425817
38,technician,married,professional.course,yes,no,telephone,may,tue,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,0,0.4114210370723443
42,management,divorced,high.school,no,no,cellular,may,fri,2,999,1,failure,-1.8,92.893,-46.2,1.313,5099.1,0,0.4809586374000314
50,management,married,university.degree,no,no,cellular,jul,thu,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,1,0.6187580445329226
34,admin.,married,university.degree,yes,no,cellular,may,tue,2,999,1,failure,-1.8,92.893,-46.2,1.344,5099.1,0,0.3597302911365327
54,self-employed,married,professional.course,no,no,telephone,may,fri,1,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191.0,0,0.35278544642088894
46,blue-collar,married,basic.9y,yes,no,cellular,apr,mon,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,0,0.39347912682701747
42,admin.,single,university.degree,yes,no,cellular,jul,thu,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,1,0.6261822754465219
36,admin.,married,high.school,yes,no,telephone,may,fri,14,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.16448214712492087
49,management,married,university.degree,no,no,cellular,may,fri,6,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,0,0.3836878826460977
62,retired,married,university.degree,no,no,cellular,nov,thu,2,6,3,success,-1.1,94.767,-50.8,1.031,4963.6,1,0.9664520739047134
32,services,married,high.school,no,no,cellular,nov,wed,1,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,1,0.6663881263552346
33,services,married,high.school,yes,no,telephone,may,fri,5,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,0,0.4429399659828881
34,admin.,married,high.school,no,no,cellular,jul,wed,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,1,0.7019248290008299
28,blue-collar,single,basic.9y,yes,no,telephone,jun,wed,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,1,0.6024228693424943
40,services,divorced,high.school,yes,yes,telephone,jun,wed,29,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,0,0.14149433383555646
33,admin.,married,university.degree,yes,no,cellular,may,mon,3,999,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1,1,0.7833334692723156
54,technician,divorced,university.degree,yes,no,cellular,may,wed,1,999,1,failure,-1.8,92.893,-46.2,1.334,5099.1,1,0.5756382130400352
52,services,married,university.degree,yes,yes,telephone,jun,wed,2,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,1,0.5238809823697879
57,housemaid,married,basic.6y,yes,no,telephone,may,tue,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.42349635922470674
25,admin.,single,high.school,yes,no,cellular,apr,wed,3,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,1,0.8869219090622711
52,technician,married,professional.course,no,no,cellular,aug,tue,2,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,1,0.6611376763097118
59,housemaid,divorced,basic.4y,yes,no,cellular,jul,tue,4,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0,0.382147097091134
32,technician,single,university.degree,no,yes,cellular,aug,thu,8,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,0,0.43206402785115333
39,management,married,university.degree,yes,no,telephone,jun,fri,1,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,1,0.5238127776066348
33,blue-collar,divorced,basic.6y,no,no,telephone,jun,fri,2,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,1,0.5923449119341962
25,technician,married,professional.course,no,no,cellular,jul,fri,3,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,1,0.7340220064771857
43,technician,single,university.degree,yes,no,telephone,may,thu,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,1,0.5087898360077105
53,technician,married,professional.course,yes,no,cellular,aug,thu,1,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,1,0.5100710773931568
46,admin.,single,university.degree,yes,no,cellular,jul,thu,1,999,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1,1,0.5834030246270767
38,admin.,married,basic.6y,no,no,cellular,jul,thu,3,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,1,0.6905039258301041
45,admin.,married,high.school,yes,no,telephone,may,thu,1,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,1,0.539556007649783
47,admin.,married,basic.9y,yes,no,cellular,aug,fri,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,1,0.634015804069219
49,services,married,high.school,yes,no,cellular,jul,wed,1,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,1,0.6768104272073701
52,retired,divorced,university.degree,yes,yes,cellular,aug,thu,2,4,1,success,-2.9,92.201,-31.4,0.883,5076.2,1,0.9650165519011713
26,admin.,married,high.school,no,yes,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0,0.4345102104143364
44,services,divorced,high.school,no,no,cellular,jul,wed,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,1,0.6276643969354077
55,retired,divorced,professional.course,no,yes,telephone,may,wed,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.4864570768440527
54,services,married,high.school,no,no,telephone,jul,thu,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0,0.27692756344043123
44,technician,single,basic.6y,no,no,telephone,jun,fri,9,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,0,0.4378449673295624
53,technician,married,professional.course,yes,no,cellular,may,tue,1,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,1,0.7927940511889523
25,self-employed,single,university.degree,yes,no,cellular,apr,thu,1,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,1,0.9258592752593308
38,technician,divorced,university.degree,no,no,cellular,apr,wed,2,999,2,failure,-1.8,93.075,-47.1,1.415,5099.1,1,0.6978558447537772
31,admin.,married,high.school,yes,no,telephone,jun,wed,1,999,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,1,0.6048385316917951
31,technician,married,university.degree,yes,no,cellular,nov,tue,2,999,1,failure,-0.1,93.2,-42.0,4.153,5195.8,0,0.42470241454763
29,management,married,university.degree,no,no,telephone,jun,wed,1,999,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,1,0.6258457723133238
45,self-employed,married,basic.4y,no,no,cellular,aug,thu,1,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,1,0.6716113478560922
27,technician,single,high.school,yes,no,telephone,may,thu,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,0,0.36965688380264744
34,admin.,single,university.degree,no,no,cellular,aug,mon,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,1,0.672743066308669
52,self-employed,married,professional.course,no,no,telephone,jun,mon,2,999,0,nonexistent,1.4,94.465,-41.8,4.947,5228.1,0,0.4622310074380411
25,admin.,single,university.degree,yes,no,telephone,nov,mon,2,999,0,nonexistent,-3.4,92.649,-30.1,0.714,5017.5,1,0.902057575827222
52,blue-collar,divorced,basic.9y,yes,yes,cellular,jul,mon,1,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,1,0.6465814852724703
28,admin.,single,university.degree,no,no,telephone,jun,wed,3,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,1,0.6006133149767625
46,admin.,single,high.school,yes,no,telephone,nov,wed,2,999,1,failure,-0.1,93.2,-42.0,4.12,5195.8,0,0.2122439076881458
52,technician,married,basic.6y,yes,no,cellular,jul,thu,1,3,1,success,-1.7,94.215,-40.3,0.846,4991.6,1,0.9664520739047134
60,retired,married,professional.course,no,no,telephone,may,wed,5,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,1,0.5320165167155344
33,technician,divorced,professional.course,no,no,telephone,may,wed,4,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0,0.499992627290562
50,services,married,high.school,yes,no,telephone,may,tue,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,0,0.4040478825584369
36,blue-collar,married,basic.6y,yes,yes,cellular,may,tue,2,999,0,nonexistent,-1.8,92.893,-46.2,1.344,5099.1,1,0.6767051601553123
24,blue-collar,single,basic.9y,no,yes,cellular,jun,mon,1,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,1,0.9209682797514955
34,admin.,married,university.degree,no,yes,cellular,aug,fri,7,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,1,0.5471740356191318
81,retired,married,basic.6y,no,no,cellular,aug,thu,2,4,1,success,-2.9,92.201,-31.4,0.873,5076.2,1,0.9650165519011713
41,blue-collar,single,basic.6y,no,no,cellular,may,fri,1,999,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,1,0.6885684216979951
60,retired,single,basic.4y,no,no,telephone,may,fri,4,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191.0,0,0.3864738954578264
38,admin.,single,university.degree,yes,no,telephone,jun,tue,1,999,0,nonexistent,-2.9,92.963,-40.8,1.099,5076.2,1,0.8650974472482018
29,technician,married,professional.course,yes,no,cellular,oct,fri,1,5,2,success,-1.1,94.601,-49.5,0.972,4963.6,1,0.9664520739047134
29,admin.,single,university.degree,no,yes,telephone,jul,mon,8,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,1,0.6924306678478085
33,student,single,high.school,yes,yes,cellular,aug,tue,1,999,0,nonexistent,-2.9,92.201,-31.4,0.883,5076.2,1,0.9227580026121761
49,blue-collar,married,basic.4y,no,no,telephone,may,tue,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.39254249774981664
34,management,divorced,university.degree,yes,no,cellular,may,fri,3,999,1,failure,-1.8,92.893,-46.2,1.25,5099.1,1,0.7880357028640009
33,blue-collar,married,basic.9y,yes,no,cellular,may,thu,1,999,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,1,0.7167509065120842
32,admin.,single,university.degree,yes,no,cellular,mar,mon,3,999,0,nonexistent,-1.8,92.843,-50.0,1.52,5099.1,1,0.910040171297406
32,admin.,single,university.degree,yes,yes,cellular,aug,mon,2,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0,0.4072947047303408
29,technician,married,professional.course,no,no,cellular,may,fri,2,999,2,failure,-1.8,93.876,-40.0,0.699,5008.7,1,0.9318931386657254
24,services,single,high.school,no,no,cellular,apr,tue,1,999,0,nonexistent,-1.8,93.075,-47.1,1.423,5099.1,1,0.9249130805520032
43,admin.,married,high.school,yes,no,telephone,jun,mon,3,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,1,0.5770266090630203
44,admin.,single,university.degree,no,no,cellular,nov,wed,1,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,1,0.6603321872648678
34,admin.,single,university.degree,yes,no,cellular,jun,tue,2,999,0,nonexistent,-2.9,92.963,-40.8,1.262,5076.2,1,0.9241436573448559
31,services,married,high.school,yes,no,cellular,may,thu,2,999,1,failure,-1.8,92.893,-46.2,1.327,5099.1,0,0.477081302792525
50,technician,divorced,basic.9y,yes,no,cellular,apr,wed,2,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,1,0.8436569175474393
34,management,divorced,university.degree,yes,no,cellular,jul,tue,6,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,1,0.68237533897768
47,technician,married,professional.course,no,no,cellular,jul,mon,1,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,1,0.525624054695178
33,admin.,divorced,high.school,no,no,cellular,apr,thu,1,999,0,nonexistent,-1.8,93.075,-47.1,1.483,5099.1,1,0.7867130785274731
36,services,single,high.school,no,no,cellular,nov,thu,1,999,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,1,0.6682556088839516
39,technician,married,university.degree,yes,no,cellular,apr,fri,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,1,0.8039308070798782
31,admin.,married,university.degree,yes,no,cellular,aug,wed,1,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,1,0.6671238888819783
39,services,married,high.school,yes,no,cellular,jul,fri,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,1,0.6652342044582319
41,blue-collar,single,basic.9y,yes,no,telephone,may,fri,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,1,0.5054907119283302
36,technician,married,university.degree,no,no,cellular,nov,wed,4,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,1,0.6091336888681762
39,blue-collar,married,basic.6y,no,no,cellular,jul,tue,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,1,0.6709187891620604
60,services,married,high.school,no,no,cellular,aug,tue,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,1,0.505722591984735
34,technician,divorced,professional.course,no,no,telephone,jun,mon,3,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,1,0.5872033352122915
48,admin.,divorced,university.degree,yes,no,telephone,may,mon,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.4693399384049179
36,management,married,university.degree,yes,no,cellular,aug,mon,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,1,0.6177040632043181
39,housemaid,married,basic.9y,yes,no,cellular,nov,fri,4,999,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,1,0.6406676848526083
37,admin.,married,university.degree,yes,no,cellular,apr,wed,1,999,0,nonexistent,-1.8,93.075,-47.1,1.415,5099.1,1,0.8551990153224416
43,blue-collar,single,basic.9y,yes,no,telephone,may,fri,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,1,0.503785539929147
50,self-employed,married,university.degree,yes,yes,telephone,may,tue,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,0,0.3060461752880156
28,services,married,high.school,no,no,telephone,jun,wed,2,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,1,0.6102796981259063
51,technician,married,professional.course,yes,yes,cellular,aug,thu,3,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,1,0.5007482903639083
34,blue-collar,married,professional.course,no,no,telephone,jun,wed,1,999,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,1,0.5664013766271881
37,admin.,married,university.degree,no,no,cellular,nov,mon,2,6,1,success,-1.1,94.767,-50.8,1.05,4963.6,1,0.9650713246922469
51,blue-collar,married,basic.9y,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,1,0.5335911957518183
26,self-employed,single,university.degree,yes,no,cellular,sep,thu,1,999,0,nonexistent,-1.1,94.199,-37.5,0.878,4963.6,1,0.9413238259355008
29,admin.,single,university.degree,yes,no,cellular,aug,fri,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,1,0.5185197748140434
78,retired,divorced,basic.6y,no,no,telephone,oct,fri,2,999,0,nonexistent,-3.4,92.431,-26.9,0.72,5017.5,1,0.9013857761675006
42,technician,married,professional.course,yes,no,telephone,may,wed,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,1,0.506090066776422
33,services,married,basic.4y,yes,yes,telephone,jun,mon,6,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0,0.3917531438835406
41,blue-collar,married,basic.9y,no,no,telephone,jun,mon,1,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,1,0.5599627769366021
34,technician,single,university.degree,no,yes,telephone,sep,fri,1,999,0,nonexistent,-1.1,94.199,-37.5,0.879,4963.6,1,0.8071828635484704
41,admin.,single,university.degree,no,no,telephone,may,wed,2,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,1,0.5672989486778036
