age,job,marital,education,housing,loan,contact,month,day_of_week,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,predicted_deposit,probability,predicted_proba
36,technician,married,professional.course,no,no,cellular,aug,tue,5,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,1,0.5975699859838166,0.5975699859838166
41,blue-collar,married,basic.9y,no,yes,cellular,jul,tue,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,1,0.6545885099569039,0.6545885099569039
29,blue-collar,married,basic.6y,yes,no,cellular,may,thu,4,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,1,0.7265676382058899,0.7265676382058899
26,technician,single,professional.course,no,no,cellular,jul,wed,2,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,1,0.735068891826297,0.735068891826297
47,management,married,high.school,yes,yes,cellular,nov,fri,3,999,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,1,0.6145772850714568,0.6145772850714568
48,admin.,single,high.school,yes,no,cellular,aug,mon,5,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,1,0.6094895373723247,0.6094895373723247
53,blue-collar,married,basic.4y,yes,no,cellular,aug,fri,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,1,0.6595292219067233,0.6595292219067233
52,blue-collar,divorced,basic.4y,yes,no,cellular,apr,thu,1,999,1,failure,-1.8,93.075,-47.1,1.41,5099.1,1,0.701971371420969,0.701971371420969
31,admin.,married,high.school,yes,no,cellular,apr,fri,2,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,1,0.7562535872034332,0.7562535872034332
32,admin.,single,university.degree,yes,no,cellular,mar,mon,2,999,0,nonexistent,-1.8,92.843,-50.0,1.52,5099.1,1,0.910040171297406,0.910040171297406
35,admin.,married,high.school,yes,no,cellular,apr,wed,1,999,0,nonexistent,-1.8,93.075,-47.1,1.445,5099.1,1,0.7963908397926523,0.7963908397926523
30,admin.,married,university.degree,yes,no,cellular,aug,mon,3,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,1,0.6087643724920678,0.6087643724920678
73,retired,married,basic.4y,yes,no,cellular,mar,mon,2,999,1,failure,-1.8,93.369,-34.8,0.646,5008.7,1,0.9286027232648847,0.9286027232648847
55,blue-collar,married,basic.9y,no,yes,cellular,may,tue,7,999,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,1,0.6408698515223538,0.6408698515223538
28,admin.,single,university.degree,yes,no,cellular,oct,mon,4,17,3,failure,-1.1,94.601,-49.5,1.032,4963.6,1,0.9234126054029637,0.9234126054029637
25,blue-collar,married,basic.9y,no,no,cellular,jul,wed,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,1,0.7055094286943623,0.7055094286943623
22,student,single,high.school,yes,yes,cellular,may,mon,3,999,0,nonexistent,-1.8,92.893,-46.2,1.354,5099.1,1,0.8500037883270052,0.8500037883270052
41,blue-collar,married,basic.9y,no,no,cellular,aug,thu,1,999,1,failure,-2.9,92.201,-31.4,0.873,5076.2,1,0.8433435486345158,0.8433435486345158
34,admin.,single,high.school,no,no,cellular,jun,fri,2,999,0,nonexistent,-2.9,92.963,-40.8,1.268,5076.2,1,0.9241436573448559,0.9241436573448559
33,blue-collar,married,basic.9y,yes,no,cellular,may,tue,2,999,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,1,0.7295688678225791,0.7295688678225791
32,technician,single,university.degree,no,no,cellular,may,fri,1,999,0,nonexistent,-1.8,92.893,-46.2,1.259,5099.1,1,0.8308810117434042,0.8308810117434042
43,admin.,single,university.degree,no,yes,cellular,aug,thu,3,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,1,0.6609155965671216,0.6609155965671216
67,retired,married,professional.course,yes,no,cellular,apr,wed,1,999,0,nonexistent,-1.8,93.075,-47.1,1.415,5099.1,1,0.9320890174835463,0.9320890174835463
28,technician,married,basic.9y,yes,no,cellular,jul,mon,4,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,1,0.6701739482235732,0.6701739482235732
29,admin.,single,university.degree,no,no,cellular,aug,thu,2,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,1,0.6389409717218381,0.6389409717218381
58,management,married,university.degree,no,no,cellular,jul,mon,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,1,0.6225987051222445,0.6225987051222445
53,admin.,divorced,university.degree,yes,no,cellular,nov,fri,1,999,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,1,0.663908654358115,0.663908654358115
27,blue-collar,married,basic.9y,no,no,cellular,may,thu,2,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,1,0.7248357745767083,0.7248357745767083
29,services,married,high.school,yes,no,cellular,may,wed,2,999,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1,1,0.649400753837952,0.649400753837952
31,services,married,high.school,no,no,cellular,jun,wed,4,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,1,0.9241436573448559,0.9241436573448559
43,services,divorced,high.school,no,no,cellular,apr,thu,1,999,0,nonexistent,-1.8,93.075,-47.1,1.483,5099.1,1,0.6246282305478665,0.6246282305478665
43,blue-collar,married,basic.9y,no,no,cellular,jul,tue,5,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,1,0.6545101502552924,0.6545101502552924
30,technician,divorced,basic.9y,yes,yes,cellular,nov,wed,1,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,1,0.6156286651353327,0.6156286651353327
31,services,single,high.school,yes,no,cellular,may,tue,1,999,0,nonexistent,-1.8,92.893,-46.2,1.344,5099.1,1,0.699245608666388,0.699245608666388
26,student,single,university.degree,yes,no,cellular,jun,thu,1,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,1,0.9241436573448559,0.9241436573448559
43,blue-collar,married,basic.9y,yes,no,cellular,may,tue,1,999,0,nonexistent,-1.8,92.893,-46.2,1.344,5099.1,1,0.6849485989361422,0.6849485989361422
30,blue-collar,single,basic.9y,yes,no,cellular,nov,thu,2,999,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,1,0.6772723257745321,0.6772723257745321
30,admin.,single,university.degree,yes,no,cellular,jun,wed,3,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,1,0.9241436573448559,0.9241436573448559
30,services,single,high.school,no,yes,cellular,jul,wed,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,1,0.7061119296684435,0.7061119296684435
29,admin.,single,high.school,no,no,cellular,may,fri,3,999,1,failure,-1.8,92.893,-46.2,1.25,5099.1,1,0.7958369498500292,0.7958369498500292
23,blue-collar,single,high.school,no,no,cellular,jul,wed,1,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,1,0.7379746358837518,0.7379746358837518
45,admin.,married,high.school,yes,no,cellular,jul,mon,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,1,0.6259010363392495,0.6259010363392495
49,technician,married,professional.course,yes,no,cellular,jul,fri,1,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,1,0.605501921345879,0.605501921345879
32,technician,single,university.degree,yes,no,cellular,aug,tue,4,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,1,0.721800732507785,0.721800732507785
29,admin.,single,university.degree,yes,no,cellular,jun,wed,1,999,2,failure,-1.7,94.055,-39.8,0.704,4991.6,1,0.9318931386657254,0.9318931386657254
43,management,married,university.degree,no,yes,cellular,may,wed,1,999,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1,1,0.6760533252562158,0.6760533252562158
37,services,single,high.school,yes,no,cellular,may,wed,1,999,1,failure,-1.8,92.893,-46.2,1.334,5099.1,1,0.6200244121718814,0.6200244121718814
30,technician,single,university.degree,yes,no,cellular,aug,thu,1,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,1,0.6352843088318231,0.6352843088318231
32,admin.,divorced,university.degree,yes,no,cellular,nov,fri,3,999,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,1,0.66517215120291,0.66517215120291
35,admin.,married,university.degree,yes,no,cellular,aug,wed,2,999,2,failure,-2.9,92.201,-31.4,0.854,5076.2,1,0.9106807539428613,0.9106807539428613
32,admin.,married,university.degree,yes,no,cellular,may,mon,2,999,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1,1,0.7815756669512821,0.7815756669512821
36,technician,single,high.school,yes,no,cellular,may,thu,1,999,1,failure,-1.8,92.893,-46.2,1.327,5099.1,1,0.6493156650667858,0.6493156650667858
68,retired,married,basic.4y,yes,no,cellular,apr,fri,1,999,0,nonexistent,-1.8,93.749,-34.6,0.644,5008.7,1,0.9450844362695074,0.9450844362695074
29,management,single,university.degree,no,no,cellular,nov,wed,1,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,1,0.7098936213436496,0.7098936213436496
36,admin.,married,university.degree,yes,no,cellular,jul,wed,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,1,0.6682302986334664,0.6682302986334664
62,entrepreneur,married,university.degree,no,no,cellular,sep,tue,1,999,1,failure,-3.4,92.379,-29.8,0.77,5017.5,1,0.9230278843818758,0.9230278843818758
62,self-employed,married,university.degree,yes,no,cellular,sep,fri,1,999,0,nonexistent,-3.4,92.379,-29.8,0.741,5017.5,1,0.9014674537658918,0.9014674537658918
37,student,single,high.school,no,no,cellular,aug,thu,1,999,0,nonexistent,-2.9,92.201,-31.4,0.851,5076.2,1,0.9203881321093538,0.9203881321093538
36,admin.,single,university.degree,yes,no,cellular,aug,tue,7,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,1,0.6773032359748486,0.6773032359748486
42,admin.,married,university.degree,no,no,cellular,jul,fri,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,1,0.6317688625620436,0.6317688625620436
53,management,divorced,university.degree,no,no,cellular,apr,thu,1,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,1,0.930451705643801,0.930451705643801
35,admin.,married,university.degree,no,no,cellular,nov,wed,1,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,1,0.6952213266155939,0.6952213266155939
33,blue-collar,single,basic.9y,yes,no,cellular,jul,tue,3,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,1,0.6935939692863078,0.6935939692863078
33,student,divorced,professional.course,no,no,cellular,aug,mon,1,999,0,nonexistent,1.4,93.444,-36.1,4.97,5228.1,1,0.6024226906725169,0.6024226906725169
44,blue-collar,married,basic.9y,no,no,cellular,apr,thu,1,999,0,nonexistent,-1.8,93.075,-47.1,1.483,5099.1,1,0.5926359844955021,0.5926359844955021
29,blue-collar,married,high.school,no,no,cellular,nov,wed,2,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,1,0.6856746615267871,0.6856746615267871
47,blue-collar,married,basic.9y,yes,no,cellular,jul,fri,1,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,1,0.6735293016589933,0.6735293016589933
35,blue-collar,married,high.school,no,no,cellular,may,tue,2,999,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,1,0.6375392451071722,0.6375392451071722
66,management,divorced,university.degree,no,no,cellular,sep,tue,1,1,1,success,-3.4,92.379,-29.8,0.788,5017.5,1,0.9664520739047134,0.9664520739047134
31,blue-collar,married,basic.9y,yes,no,cellular,may,fri,1,999,1,failure,-1.8,92.893,-46.2,1.313,5099.1,1,0.6311737830907341,0.6311737830907341
60,retired,divorced,basic.4y,no,no,cellular,apr,tue,4,999,0,nonexistent,-1.8,93.075,-47.1,1.453,5099.1,1,0.9251866521806005,0.9251866521806005
38,student,single,high.school,yes,yes,cellular,jul,mon,4,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,1,0.6415738986787002,0.6415738986787002
45,unemployed,married,basic.9y,no,no,cellular,jun,mon,2,999,0,nonexistent,-2.9,92.963,-40.8,1.266,5076.2,1,0.9185483455132126,0.9185483455132126
22,student,single,professional.course,yes,no,cellular,aug,mon,2,999,1,failure,-2.9,92.201,-31.4,0.861,5076.2,1,0.912379427030493,0.912379427030493
31,admin.,single,university.degree,yes,no,cellular,jul,wed,1,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,1,0.7177077654402418,0.7177077654402418
42,entrepreneur,married,university.degree,no,no,cellular,apr,fri,4,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,1,0.7823048666664097,0.7823048666664097
40,management,single,university.degree,yes,no,cellular,may,fri,1,999,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,1,0.6408530238541126,0.6408530238541126
37,technician,single,professional.course,no,no,cellular,jul,wed,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,1,0.6741584291069785,0.6741584291069785
39,admin.,married,high.school,yes,no,cellular,aug,mon,3,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,1,0.6577171419367541,0.6577171419367541
50,blue-collar,married,basic.9y,yes,no,cellular,jul,tue,1,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,1,0.6461475478968692,0.6461475478968692
30,unemployed,married,basic.9y,yes,no,cellular,nov,thu,1,999,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,1,0.67879914751243,0.67879914751243
31,technician,married,high.school,yes,yes,cellular,nov,thu,1,999,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,1,0.6649862653621746,0.6649862653621746
26,admin.,single,high.school,yes,no,cellular,may,thu,2,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,1,0.7936543991173463,0.7936543991173463
33,admin.,married,university.degree,yes,no,cellular,mar,thu,3,999,0,nonexistent,-1.8,92.843,-50.0,1.65,5099.1,1,0.939665520045548,0.939665520045548
27,admin.,single,university.degree,yes,no,cellular,aug,thu,2,999,0,nonexistent,-2.9,92.201,-31.4,0.851,5076.2,1,0.9225686214851674,0.9225686214851674
34,admin.,single,university.degree,yes,no,cellular,aug,mon,3,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,1,0.6687109716763829,0.6687109716763829
32,blue-collar,married,basic.9y,no,no,cellular,may,wed,2,999,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1,1,0.7149670501752341,0.7149670501752341
56,entrepreneur,married,university.degree,yes,no,cellular,apr,thu,1,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,1,0.9323016405073147,0.9323016405073147
60,retired,married,university.degree,yes,no,cellular,oct,mon,2,999,0,nonexistent,-1.1,94.601,-49.5,1.0,4963.6,1,0.9356889293323476,0.9356889293323476
30,unemployed,single,high.school,yes,yes,cellular,oct,wed,1,999,0,nonexistent,-3.4,92.431,-26.9,0.74,5017.5,1,0.9166755367794885,0.9166755367794885
32,admin.,single,university.degree,yes,no,cellular,mar,mon,3,999,0,nonexistent,-1.8,92.843,-50.0,1.52,5099.1,1,0.910040171297406,0.910040171297406
35,admin.,single,university.degree,yes,no,cellular,jun,wed,1,999,1,failure,-2.9,92.963,-40.8,1.26,5076.2,1,0.9092748744115833,0.9092748744115833
64,housemaid,married,basic.4y,yes,no,telephone,may,wed,3,999,0,nonexistent,-1.8,93.876,-40.0,0.697,5008.7,1,0.9219816673440331,0.9219816673440331
52,blue-collar,married,basic.4y,yes,no,cellular,apr,wed,5,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,1,0.8451537430417527,0.8451537430417527
28,admin.,single,university.degree,yes,no,telephone,jun,wed,1,999,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,1,0.6119574719124685,0.6119574719124685
37,unemployed,married,university.degree,yes,no,cellular,oct,thu,2,999,1,failure,-3.4,92.431,-26.9,0.733,5017.5,1,0.9318259144414871,0.9318259144414871
30,technician,married,professional.course,yes,no,cellular,oct,mon,1,9,2,success,-1.1,94.601,-49.5,1.032,4963.6,1,0.9650713246922469,0.9650713246922469
22,technician,single,professional.course,yes,no,cellular,may,mon,5,999,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1,1,0.6674876669061636,0.6674876669061636
44,management,married,university.degree,yes,no,cellular,may,fri,1,999,1,failure,-1.8,92.893,-46.2,1.25,5099.1,1,0.7860991506626047,0.7860991506626047
47,blue-collar,married,basic.9y,yes,no,cellular,jun,tue,1,999,0,nonexistent,-1.7,94.055,-39.8,0.713,4991.6,1,0.9450844362695074,0.9450844362695074
33,blue-collar,married,high.school,yes,no,cellular,may,tue,10,999,1,failure,-1.8,92.893,-46.2,1.291,5099.1,1,0.6152332576254737,0.6152332576254737
36,self-employed,single,university.degree,no,no,cellular,jul,wed,6,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,1,0.6912668373507371,0.6912668373507371
